,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
16,53,male,2,own,NA,NA,2424,24,radio/TV,good
862,35,female,2,own,little,little,2439,24,radio/TV,bad
764,27,male,2,own,moderate,NA,2463,24,car,good
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good
978,47,male,1,own,little,NA,2538,24,car,bad
567,34,male,2,own,rich,NA,2578,24,radio/TV,good
733,28,female,2,rent,rich,NA,2603,24,car,good
839,46,male,2,own,little,NA,2611,24,radio/TV,good
453,35,male,3,own,little,NA,2670,24,car,good
455,29,female,3,own,little,NA,2679,24,car,good
256,35,male,1,own,little,NA,2684,24,radio/TV,good
593,20,female,1,rent,little,moderate,2718,24,car,bad
198,36,male,2,free,NA,moderate,2760,24,car,good
770,26,female,2,rent,NA,little,2812,24,car,good
886,34,male,2,own,NA,moderate,2825,24,business,good
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,good
160,36,male,2,own,moderate,NA,2872,24,radio/TV,good
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
322,34,male,3,free,little,little,2910,24,car,good
465,63,male,2,own,little,little,2924,24,car,good
838,63,male,2,own,little,little,2957,24,car,good
560,49,male,2,free,NA,little,2964,24,car,good
223,32,male,2,own,NA,NA,2978,24,business,good
495,20,male,2,own,NA,little,2996,24,furniture/equipment,bad
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,good
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
534,25,male,2,own,NA,NA,3105,24,radio/TV,good
500,27,female,2,own,little,little,3123,24,car,bad
718,31,male,2,own,NA,rich,3148,24,radio/TV,good
229,22,male,2,free,little,little,3149,24,furniture/equipment,good
914,31,male,2,rent,little,little,3161,24,business,bad
64,26,female,2,own,little,NA,3181,24,radio/TV,good
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
408,26,male,3,own,quite rich,NA,3235,24,radio/TV,good
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,good
523,23,female,2,own,moderate,NA,3488,24,car,good
158,38,male,2,own,moderate,moderate,3512,24,car,good
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,good
949,31,male,2,own,moderate,NA,3621,24,radio/TV,bad
613,22,female,2,rent,little,little,3632,24,car,good
630,28,female,2,own,little,little,3660,24,radio/TV,good
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good
487,62,female,2,free,little,NA,3757,24,car,good
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good
183,50,male,2,own,rich,NA,3777,24,furniture/equipment,good
599,32,male,2,free,little,NA,3863,24,business,good
121,41,female,3,rent,little,NA,3868,24,car,good
284,37,male,2,own,moderate,moderate,3878,24,car,good
168,25,female,2,rent,little,NA,3972,24,furniture/equipment,good
31,27,male,2,own,little,little,4020,24,furniture/equipment,good
851,43,male,2,own,NA,NA,4042,24,car,good
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
952,28,female,2,rent,quite rich,moderate,4113,24,car,bad
670,27,male,1,own,moderate,NA,4139,24,business,good
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment,good
338,28,male,2,own,little,little,4169,24,furniture/equipment,good
597,36,male,1,own,little,moderate,4241,24,business,bad
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment,good
606,74,male,3,own,little,NA,4526,24,business,good
190,54,male,3,own,rich,NA,4591,24,business,bad
469,35,male,1,own,little,NA,4679,24,car,good
564,37,male,3,own,NA,moderate,4712,24,business,good
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad
454,31,male,2,own,little,little,4817,24,car,bad
4,53,male,2,free,little,little,4870,24,car,bad
833,42,female,2,own,NA,moderate,5084,24,radio/TV,good
683,47,male,2,free,little,NA,5103,24,radio/TV,good
676,33,male,2,own,little,NA,5150,24,furniture/equipment,good
477,25,male,2,own,little,rich,5152,24,radio/TV,good
572,26,female,3,rent,NA,NA,5433,24,car,good
520,44,male,2,free,little,NA,5507,24,repairs,good
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment,good
340,24,female,2,free,little,moderate,5743,24,education,good
860,27,male,2,own,rich,NA,5804,24,car,good
80,44,female,2,own,NA,NA,5943,24,radio/TV,bad
791,41,male,3,own,NA,NA,6313,24,car,good
665,27,male,3,own,little,NA,6314,24,vacation/others,good
730,33,male,2,own,little,moderate,6403,24,radio/TV,good
292,44,female,3,free,little,little,6419,24,car,good
208,21,male,1,own,little,little,6568,24,business,good
988,29,male,3,free,little,little,6579,24,car,good
330,75,male,3,free,little,little,6615,24,car,good
939,46,male,3,own,NA,NA,6842,24,car,good
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
154,36,male,3,rent,moderate,moderate,6967,24,business,good
971,43,male,1,own,little,NA,7393,24,car,good
108,30,female,2,own,NA,little,7721,24,furniture/equipment,good
153,29,female,2,rent,rich,moderate,7758,24,car,good
880,38,male,3,own,little,NA,7814,24,car,good
402,27,male,2,own,little,NA,8648,24,business,bad
881,48,male,2,free,NA,NA,9277,24,car,good
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad
736,23,female,3,rent,little,moderate,11560,24,car,bad
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad
18,44,female,3,free,little,moderate,12579,24,car,bad
525,30,male,2,own,little,moderate,7966,26,car,good
890,43,male,3,own,little,little,2442,27,business,good
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
704,32,female,2,own,little,moderate,2528,27,business,good
724,21,female,2,rent,little,NA,2570,27,car,bad
142,27,male,3,own,little,little,3416,27,radio/TV,good
192,36,male,2,own,little,moderate,3915,27,business,bad
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,good
202,26,male,2,own,little,NA,5117,27,business,good
65,48,male,2,own,NA,NA,5190,27,repairs,good
212,50,male,2,own,little,little,5293,27,business,bad
51,30,male,3,own,little,moderate,5965,27,car,good
491,42,female,3,free,little,moderate,8318,27,business,bad
136,27,male,2,own,rich,NA,8613,27,car,good
426,29,male,2,own,little,NA,2743,28,radio/TV,good
958,45,male,1,own,little,little,4006,28,car,bad
889,40,male,2,rent,NA,NA,7824,28,car,good
965,26,female,2,own,NA,moderate,1715,30,radio/TV,good
928,58,male,2,own,NA,NA,1867,30,radio/TV,good
213,66,male,3,own,little,rich,1908,30,business,bad
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
252,24,female,2,own,little,moderate,2150,30,car,bad
882,36,male,2,own,NA,moderate,2181,30,car,good
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,good
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
703,41,male,2,own,moderate,moderate,2503,30,business,good
239,39,male,2,own,little,little,2522,30,radio/TV,good
974,33,female,2,own,little,NA,2831,30,radio/TV,good
912,25,female,2,own,NA,moderate,2991,30,radio/TV,good
669,47,male,2,own,little,rich,3017,30,radio/TV,good
716,40,male,2,own,NA,NA,3077,30,radio/TV,good
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
956,49,male,1,own,NA,rich,3656,30,radio/TV,good
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
996,40,male,3,own,little,little,3857,30,car,good
658,28,female,2,own,little,moderate,4221,30,business,good
320,28,male,3,own,little,moderate,4249,30,car,bad
384,26,male,1,own,moderate,NA,4272,30,business,good
739,26,female,1,rent,moderate,moderate,4280,30,business,bad
675,26,female,3,rent,little,NA,4530,30,radio/TV,good
646,32,male,2,own,little,little,4583,30,furniture/equipment,good
306,24,female,1,rent,NA,NA,4811,30,car,good
9,28,male,3,own,little,moderate,5234,30,car,bad
753,25,female,2,own,little,NA,5771,30,radio/TV,good
571,38,male,2,own,little,NA,5954,30,radio/TV,good
43,24,male,2,rent,moderate,little,6187,30,car,good
542,31,male,2,own,NA,little,6350,30,furniture/equipment,bad
879,36,male,2,own,NA,NA,6742,30,radio/TV,good
175,53,female,3,own,NA,NA,7485,30,car,bad
715,63,male,2,own,NA,NA,7596,30,car,good
17,25,male,2,own,NA,little,8072,30,business,good
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
205,38,male,3,free,little,little,10623,30,car,good
274,34,male,1,own,little,little,11998,30,repairs,bad
468,26,female,2,own,little,NA,2764,33,business,good
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
411,35,male,3,own,little,NA,7253,33,car,good
164,36,male,2,own,quite rich,NA,909,36,car,good
68,37,male,2,free,little,NA,1819,36,education,bad
446,34,female,2,own,little,little,1842,36,car,bad
62,61,male,3,free,little,moderate,1953,36,business,bad
74,40,male,3,own,NA,little,1977,36,education,bad
951,24,male,2,own,little,little,2145,36,business,bad
54,57,male,2,free,little,moderate,2225,36,car,bad
530,32,male,2,own,little,moderate,2273,36,education,good
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,good
528,31,male,2,rent,little,little,2302,36,radio/TV,bad
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good
98,36,male,2,own,little,moderate,2337,36,radio/TV,good
397,46,male,2,own,little,little,2348,36,furniture/equipment,good
583,33,male,1,rent,little,moderate,2384,36,repairs,bad
69,25,female,2,own,NA,NA,2394,36,radio/TV,good
225,27,male,2,own,little,NA,2613,36,repairs,good
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad
578,27,male,2,own,little,moderate,2820,36,car,bad
687,30,male,2,free,moderate,moderate,2862,36,car,good
370,36,male,2,own,NA,NA,3079,36,car,good
392,39,male,3,free,little,little,3249,36,car,good
214,51,male,2,own,NA,NA,3342,36,radio/TV,good
603,28,female,3,own,little,NA,3349,36,furniture/equipment,bad
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad
776,37,male,2,own,little,NA,3535,36,car,good
877,28,male,2,own,little,NA,3595,36,radio/TV,good
460,37,male,2,own,little,little,3620,36,furniture/equipment,good
907,27,male,2,own,NA,moderate,3711,36,education,good
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad
211,45,female,1,own,NA,NA,3835,36,radio/TV,good
217,23,male,2,own,little,rich,3913,36,radio/TV,good
993,30,male,3,own,little,little,3959,36,furniture/equipment,good
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,good
230,26,male,2,own,little,rich,4210,36,radio/TV,bad
910,34,female,2,own,little,NA,4454,36,radio/TV,good
181,30,male,3,own,little,moderate,4455,36,business,bad
357,26,male,3,own,little,NA,4463,36,radio/TV,bad
328,31,male,2,own,little,rich,4473,36,radio/TV,good
511,32,male,3,free,little,NA,4686,36,car,good
141,30,female,3,own,little,moderate,4795,36,radio/TV,good
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad
148,28,male,2,own,little,little,5371,36,furniture/equipment,good
501,42,male,2,free,little,little,5493,36,car,good
778,38,male,3,own,rich,NA,5711,36,car,good
671,31,male,2,own,moderate,NA,5742,36,business,good
893,34,male,2,own,little,moderate,5800,36,car,good
415,35,male,2,own,little,NA,5842,36,car,good
152,24,male,2,own,little,rich,5848,36,radio/TV,good
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
266,36,male,2,own,NA,NA,6304,36,business,good
888,34,male,3,own,little,NA,6614,36,car,good
131,29,male,2,own,little,little,6887,36,education,bad
7,35,male,3,rent,little,moderate,6948,36,car,good
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,bad
868,37,male,2,own,NA,NA,7409,36,business,good
815,54,female,2,rent,little,moderate,7432,36,car,good
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,good
113,25,female,2,own,little,NA,7855,36,car,bad
645,27,male,2,rent,NA,NA,7980,36,business,bad
771,25,female,3,own,little,little,8065,36,education,bad
653,42,male,3,own,moderate,moderate,8086,36,car,bad
70,30,female,2,own,little,NA,8133,36,car,good
983,26,male,2,own,little,little,8229,36,car,bad
828,47,male,2,free,NA,little,8335,36,car,bad
895,31,male,3,own,NA,NA,8947,36,car,good
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
5,35,male,1,free,NA,NA,9055,36,education,good
805,24,male,2,own,little,little,9271,36,car,bad
291,28,male,3,rent,little,moderate,9398,36,car,bad
57,31,female,2,own,little,NA,9566,36,radio/TV,good
180,28,male,2,own,little,NA,9572,36,business,bad
812,24,male,2,own,little,little,9629,36,car,bad
684,31,male,1,own,moderate,moderate,9857,36,business,good
902,42,male,2,free,NA,NA,10477,36,car,good
854,45,male,2,own,little,NA,10875,36,car,good
953,26,female,3,own,little,NA,10974,36,furniture/equipment,bad
450,30,male,3,own,NA,NA,11054,36,car,good
563,37,male,2,free,NA,moderate,12389,36,car,bad
87,47,male,2,free,moderate,moderate,12612,36,education,bad
378,57,male,3,free,little,moderate,14318,36,car,bad
818,43,male,3,own,little,little,15857,36,vacation/others,good
476,24,male,2,own,quite rich,NA,2569,39,car,good
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad
509,45,male,3,own,moderate,NA,8588,39,car,good
395,32,male,2,rent,moderate,moderate,11760,39,education,good
744,30,male,3,own,NA,little,14179,39,furniture/equipment,good
789,27,male,2,own,little,little,5998,40,education,bad
438,65,male,0,own,little,little,3394,42,repairs,good
76,34,male,2,own,little,little,3965,42,radio/TV,bad
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,good
639,26,male,2,own,little,little,4370,42,radio/TV,bad
293,56,male,2,free,little,rich,4796,42,car,good
73,41,female,1,own,little,moderate,5954,42,business,good
986,33,male,2,own,little,rich,6289,42,business,good
968,29,male,2,rent,NA,NA,7166,42,radio/TV,good
116,30,female,3,own,NA,little,7174,42,radio/TV,bad
3,45,male,2,free,little,little,7882,42,furniture/equipment,good
808,55,male,3,free,little,moderate,9283,42,car,good
998,23,male,2,free,little,little,1845,45,radio/TV,bad
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
999,27,male,2,own,moderate,moderate,4576,45,car,good
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad
832,29,male,2,rent,little,little,11816,45,business,bad
285,35,female,1,own,little,little,10722,47,car,good
787,38,male,2,own,NA,NA,2751,48,car,good
813,54,male,2,own,little,little,3051,48,domestic appliances,bad
273,28,male,2,own,little,moderate,3060,48,radio/TV,bad
145,30,male,2,own,moderate,moderate,3566,48,business,good
115,47,male,2,own,NA,NA,3578,48,radio/TV,good
667,27,female,2,own,little,NA,3609,48,business,good
191,34,male,1,free,moderate,moderate,3844,48,business,bad
622,38,male,2,own,NA,NA,3914,48,business,bad
814,46,male,2,free,little,little,3931,48,car,bad
568,41,male,2,own,NA,moderate,3979,48,radio/TV,good
11,24,female,2,rent,little,little,4308,48,business,bad
242,24,male,2,free,little,little,4605,48,car,bad
286,26,male,2,own,little,little,4788,48,car,good
981,33,male,3,rent,little,NA,4844,48,business,bad
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
310,40,male,0,free,NA,moderate,5381,48,vacation/others,good
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad
36,31,male,2,free,little,NA,6110,48,education,good
44,58,female,1,free,little,little,6143,48,car,bad
788,50,male,2,free,little,moderate,6224,48,education,bad
701,46,male,2,free,little,little,6331,48,car,bad
728,59,female,2,rent,little,moderate,6416,48,business,bad
706,24,male,2,own,moderate,moderate,6560,48,car,bad
829,38,male,2,free,NA,moderate,6681,48,business,good
569,31,female,2,own,little,little,6758,48,radio/TV,bad
552,34,male,2,own,little,little,6999,48,radio/TV,bad
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad
467,32,male,2,own,NA,NA,7238,48,radio/TV,good
650,50,male,3,free,little,little,7476,48,education,good
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
294,46,male,3,own,NA,NA,7629,48,business,good
375,37,female,2,rent,little,little,7685,48,business,bad
538,42,male,3,free,little,little,7763,48,car,bad
945,30,female,2,own,quite rich,moderate,8358,48,car,good
130,24,female,2,own,NA,moderate,8487,48,car,good
549,35,male,2,free,NA,NA,8858,48,car,good
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
304,44,male,2,free,quite rich,NA,10127,48,car,bad
657,37,male,2,own,NA,NA,10222,48,radio/TV,good
927,39,male,2,free,little,little,10297,48,car,bad
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
333,24,female,1,rent,moderate,NA,11590,48,car,bad
272,36,male,3,free,NA,moderate,12169,48,car,good
615,48,male,3,own,NA,moderate,12204,48,business,good
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,good
63,25,male,2,own,little,moderate,14421,48,business,bad
887,23,male,2,own,little,moderate,15672,48,business,bad
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad
78,39,male,1,own,NA,NA,9436,54,car,good
95,58,male,2,rent,little,moderate,15945,54,business,bad
938,42,male,2,free,little,moderate,6288,60,education,bad
685,34,male,2,free,NA,NA,6527,60,car,good
29,63,male,2,own,little,little,6836,60,business,bad
973,36,male,2,rent,little,little,7297,60,business,bad
332,24,female,3,own,moderate,moderate,7408,60,car,bad
255,27,male,1,own,NA,moderate,7418,60,radio/TV,good
616,27,male,3,free,NA,moderate,9157,60,radio/TV,good
134,21,female,2,own,moderate,NA,10144,60,radio/TV,good
672,42,male,3,own,little,NA,10366,60,car,good
373,63,male,3,free,NA,NA,13756,60,car,good
714,27,male,3,own,little,moderate,14027,60,car,bad
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
637,21,male,2,own,little,NA,15653,60,radio/TV,good
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
